technology,title,location,type,experience,english,datetime,views,applicants
REST,Senior Python Engineer (Integrations),"Вірменія, Грузія, Польща, Україна",Тільки віддалено,5 років досвіду,Upper-Intermediate,2024-01-04,60,13
FastAPI,Senior Python Engineer (Integrations),"Вірменія, Грузія, Польща, Україна",Тільки віддалено,5 років досвіду,Upper-Intermediate,2024-01-04,60,13
NoSQL,Senior Python Engineer (Integrations),"Вірменія, Грузія, Польща, Україна",Тільки віддалено,5 років досвіду,Upper-Intermediate,2024-01-04,60,13
API,Senior Python Engineer (Integrations),"Вірменія, Грузія, Польща, Україна",Тільки віддалено,5 років досвіду,Upper-Intermediate,2024-01-04,60,13
AI,Senior Python Engineer (Integrations),"Вірменія, Грузія, Польща, Україна",Тільки віддалено,5 років досвіду,Upper-Intermediate,2024-01-04,60,13
ML,Senior Python Engineer (Integrations),"Вірменія, Грузія, Польща, Україна",Тільки віддалено,5 років досвіду,Upper-Intermediate,2024-01-04,60,13
Microservice,Senior Python Engineer (Integrations),"Вірменія, Грузія, Польща, Україна",Тільки віддалено,5 років досвіду,Upper-Intermediate,2024-01-04,60,13
JS,Backend (Python) Software Engineer,"Польща, Україна",Тільки віддалено,3 роки досвіду,,2024-01-03,193,16
JS,Backend Developer (Python),Україна,Office або Remote,3 роки досвіду,Upper-Intermediate,2024-01-03,88,16
Data Base,Backend Developer (Python),Україна,Office або Remote,3 роки досвіду,Upper-Intermediate,2024-01-03,88,16
SQL,Backend Developer (Python),Україна,Office або Remote,3 роки досвіду,Upper-Intermediate,2024-01-03,88,16
Data Base,Backend (Python) Software Engineer,"Польща, Україна",Тільки віддалено,3 роки досвіду,,2024-01-03,193,16
SQL,Backend (Python) Software Engineer,"Польща, Україна",Тільки віддалено,3 роки досвіду,,2024-01-03,193,16
MongoDB,Backend (Python) Software Engineer,"Польща, Україна",Тільки віддалено,3 роки досвіду,,2024-01-03,193,16
docker,Backend (Python) Software Engineer,"Польща, Україна",Тільки віддалено,3 роки досвіду,,2024-01-03,193,16
NoSQL,Backend (Python) Software Engineer,"Польща, Україна",Тільки віддалено,3 роки досвіду,,2024-01-03,193,16
API,Backend (Python) Software Engineer,"Польща, Україна",Тільки віддалено,3 роки досвіду,,2024-01-03,193,16
Linux,Backend (Python) Software Engineer,"Польща, Україна",Тільки віддалено,3 роки досвіду,,2024-01-03,193,16
AI,Backend (Python) Software Engineer,"Польща, Україна",Тільки віддалено,3 роки досвіду,,2024-01-03,193,16
PostgreSQL,Backend Developer (Python),Україна,Office або Remote,3 роки досвіду,Upper-Intermediate,2024-01-03,88,16
MongoDB,Backend Developer (Python),Україна,Office або Remote,3 роки досвіду,Upper-Intermediate,2024-01-03,88,16
NodeJS,Backend Developer (Python),Україна,Office або Remote,3 роки досвіду,Upper-Intermediate,2024-01-03,88,16
docker,Backend Developer (Python),Україна,Office або Remote,3 роки досвіду,Upper-Intermediate,2024-01-03,88,16
API,Backend Developer (Python),Україна,Office або Remote,3 роки досвіду,Upper-Intermediate,2024-01-03,88,16
AI,Backend Developer (Python),Україна,Office або Remote,3 роки досвіду,Upper-Intermediate,2024-01-03,88,16
ML,Backend Developer (Python),Україна,Office або Remote,3 роки досвіду,Upper-Intermediate,2024-01-03,88,16
SQL,Tech/Team Lead (Python),"Релокейт, Україна",Office або Remote,5 років досвіду,Upper-Intermediate,2024-01-03,37,6
SQL,python developer for algorithmic trading project,Україна,Тільки віддалено,3 роки досвіду,Intermediate,2024-01-03,131,40
Algorithms,Backend (Python) Software Engineer,"Польща, Україна",Тільки віддалено,3 роки досвіду,,2024-01-03,193,16
AsyncIO,Backend (Python) Software Engineer,"Польща, Україна",Тільки віддалено,3 роки досвіду,,2024-01-03,193,16
