technology,title,location,type,experience,english,datetime,views,applicants
Celery,"Python Engineer (Poland, Romania)","Польща, Румунія",Тільки віддалено,5 років досвіду,Upper-Intermediate,2024-01-02,14,3
API,"Python Engineer (Poland, Romania)","Польща, Румунія",Тільки віддалено,5 років досвіду,Upper-Intermediate,2024-01-02,14,3
AWS,"Python Engineer (Poland, Romania)","Польща, Румунія",Тільки віддалено,5 років досвіду,Upper-Intermediate,2024-01-02,14,3
AI,"Python Engineer (Poland, Romania)","Польща, Румунія",Тільки віддалено,5 років досвіду,Upper-Intermediate,2024-01-02,14,3
ML,"Python Engineer (Poland, Romania)","Польща, Румунія",Тільки віддалено,5 років досвіду,Upper-Intermediate,2024-01-02,14,3
Data Base,Backend Python Engineer,Польща,Тільки віддалено,5 років досвіду,Upper-Intermediate,2024-01-02,32,2
SQL,Backend Python Engineer,Польща,Тільки віддалено,5 років досвіду,Upper-Intermediate,2024-01-02,32,2
Django,Backend Python Engineer,Польща,Тільки віддалено,5 років досвіду,Upper-Intermediate,2024-01-02,32,2
MongoDB,Backend Python Engineer,Польща,Тільки віддалено,5 років досвіду,Upper-Intermediate,2024-01-02,32,2
docker,Backend Python Engineer,Польща,Тільки віддалено,5 років досвіду,Upper-Intermediate,2024-01-02,32,2
NoSQL,Backend Python Engineer,Польща,Тільки віддалено,5 років досвіду,Upper-Intermediate,2024-01-02,32,2
Celery,Backend Python Engineer,Польща,Тільки віддалено,5 років досвіду,Upper-Intermediate,2024-01-02,32,2
API,Backend Python Engineer,Польща,Тільки віддалено,5 років досвіду,Upper-Intermediate,2024-01-02,32,2
AWS,Backend Python Engineer,Польща,Тільки віддалено,5 років досвіду,Upper-Intermediate,2024-01-02,32,2
AI,Backend Python Engineer,Польща,Тільки віддалено,5 років досвіду,Upper-Intermediate,2024-01-02,32,2
ML,Backend Python Engineer,Польща,Тільки віддалено,5 років досвіду,Upper-Intermediate,2024-01-02,32,2
REST,ML/CV Engineer,"Релокейт, Україна",Гібридна робота,3 роки досвіду,Intermediate,2024-01-02,26,2
GIT,Senior Python Developer,"Польща, Португалія, Україна",Office або Remote,5 років досвіду,Upper-Intermediate,2024-01-02,26,9
AI,ML/CV Engineer,"Релокейт, Україна",Гібридна робота,3 роки досвіду,Intermediate,2024-01-02,26,2
ML,ML/CV Engineer,"Релокейт, Україна",Гібридна робота,3 роки досвіду,Intermediate,2024-01-02,26,2
